# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios, products and interactions are fabricated. Not real banking data.
user_id,record_type,days_ago,product_id,purpose,amount,tenure,strategy,suitability,status,event_type,SYNTHETIC
syn-0008,RECOMMENDATION,403.1,HL-102,VEHICLE,4452200.0,36,BORROW_80_LIQUIDATE_20,0.924,RECOMMENDED,,TRUE
syn-0008,EVENT,402.7096755510257,HL-102,,,,,,,DECLINED,TRUE
syn-0008,RECOMMENDATION,188.6,VL-202,PERSONAL,1524000.0,84,BORROW_60_LIQUIDATE_40,0.631,RECOMMENDED,,TRUE
syn-0008,EVENT,188.19436352406439,VL-202,,,,,,,VIEWED,TRUE
syn-0012,RECOMMENDATION,434.6,PL-401,PERSONAL,245500.0,60,BORROW_40_LIQUIDATE_60,0.798,RECOMMENDED,,TRUE
syn-0012,EVENT,434.5264261832259,PL-401,,,,,,,ACCEPTED,TRUE
syn-0012,RECOMMENDATION,212.7,HL-102,EDUCATION,256200.0,84,BORROW_80_LIQUIDATE_20,0.427,RECOMMENDED,,TRUE
syn-0012,EVENT,212.12872341628997,HL-102,,,,,,,ACCEPTED,TRUE
syn-0024,RECOMMENDATION,14.3,HL-101,EDUCATION,110500.0,84,BORROW_20_LIQUIDATE_80,0.432,RECOMMENDED,,TRUE
syn-0024,EVENT,13.346274296502164,HL-101,,,,,,,DECLINED,TRUE
syn-0024,RECOMMENDATION,232.2,PL-403,PERSONAL,2931600.0,24,BORROW_60_LIQUIDATE_40,0.37,RECOMMENDED,,TRUE
syn-0024,EVENT,232.17310261237657,PL-403,,,,,,,VIEWED,TRUE
syn-0024,RECOMMENDATION,383.2,HL-101,BUSINESS,749200.0,12,BORROW_60_LIQUIDATE_40,0.357,RECOMMENDED,,TRUE
syn-0024,EVENT,383.10919281462486,HL-101,,,,,,,VIEWED,TRUE
syn-0025,RECOMMENDATION,248.1,PL-401,EDUCATION,2121300.0,24,LIQUIDATE_100,0.845,RECOMMENDED,,TRUE
syn-0025,EVENT,247.80672051262783,PL-401,,,,,,,VIEWED,TRUE
syn-0025,RECOMMENDATION,47.9,EL-301,MEDICAL,244900.0,60,LIQUIDATE_100,0.647,RECOMMENDED,,TRUE
syn-0025,EVENT,47.23902365534825,EL-301,,,,,,,VIEWED,TRUE
syn-0025,RECOMMENDATION,180.5,BL-602,PERSONAL,2543800.0,12,BORROW_60_LIQUIDATE_40,0.457,RECOMMENDED,,TRUE
syn-0025,EVENT,179.70048910292607,BL-602,,,,,,,VIEWED,TRUE
syn-0025,RECOMMENDATION,78.1,HL-102,HOME,5269300.0,12,LIQUIDATE_100,0.718,RECOMMENDED,,TRUE
syn-0025,EVENT,77.65853170976318,HL-102,,,,,,,ACCEPTED,TRUE
syn-0026,RECOMMENDATION,217.1,EL-301,HOME,265200.0,12,LIQUIDATE_100,0.439,RECOMMENDED,,TRUE
syn-0026,EVENT,216.23863674976357,EL-301,,,,,,,VIEWED,TRUE
syn-0026,RECOMMENDATION,393.4,PL-401,PERSONAL,721700.0,120,BORROW_20_LIQUIDATE_80,0.826,RECOMMENDED,,TRUE
syn-0026,EVENT,392.68618793099904,PL-401,,,,,,,DECLINED,TRUE
syn-0026,RECOMMENDATION,4.8,HL-103,MEDICAL,1349500.0,48,BORROW_80_LIQUIDATE_20,0.321,RECOMMENDED,,TRUE
syn-0026,EVENT,3.9790082748946074,HL-103,,,,,,,VIEWED,TRUE
syn-0026,RECOMMENDATION,393.5,HL-103,HOME,805000.0,48,LIQUIDATE_100,0.524,RECOMMENDED,,TRUE
syn-0026,EVENT,393.4572238772819,HL-103,,,,,,,VIEWED,TRUE
syn-0029,RECOMMENDATION,142.1,EL-302,EDUCATION,133800.0,84,BORROW_60_LIQUIDATE_40,0.714,RECOMMENDED,,TRUE
syn-0029,EVENT,141.70927673394823,EL-302,,,,,,,VIEWED,TRUE
syn-0029,RECOMMENDATION,306.2,HL-101,BUSINESS,1641900.0,60,BORROW_40_LIQUIDATE_60,0.904,RECOMMENDED,,TRUE
syn-0029,EVENT,305.70711550901507,HL-101,,,,,,,VIEWED,TRUE
syn-0029,RECOMMENDATION,437.3,ML-501,EDUCATION,4159800.0,48,BORROW_40_LIQUIDATE_60,0.661,RECOMMENDED,,TRUE
syn-0029,EVENT,436.600260796374,ML-501,,,,,,,VIEWED,TRUE
syn-0031,RECOMMENDATION,539.4,PL-401,MEDICAL,110900.0,36,LIQUIDATE_100,0.634,RECOMMENDED,,TRUE
syn-0031,EVENT,539.1252603297434,PL-401,,,,,,,ACCEPTED,TRUE
syn-0031,RECOMMENDATION,72.3,HL-103,VEHICLE,3536600.0,12,BORROW_80_LIQUIDATE_20,0.498,RECOMMENDED,,TRUE
syn-0031,EVENT,71.73016729391611,HL-103,,,,,,,ACCEPTED,TRUE
syn-0033,RECOMMENDATION,86.0,PL-403,HOME,769400.0,12,BORROW_40_LIQUIDATE_60,0.456,RECOMMENDED,,TRUE
syn-0033,EVENT,85.19285350599405,PL-403,,,,,,,DECLINED,TRUE
syn-0033,RECOMMENDATION,38.4,HL-103,MEDICAL,217800.0,60,BORROW_80_LIQUIDATE_20,0.876,RECOMMENDED,,TRUE
syn-0033,EVENT,37.83544647768405,HL-103,,,,,,,DECLINED,TRUE
syn-0040,RECOMMENDATION,250.6,VL-201,HOME,1397400.0,60,BORROW_100,0.417,RECOMMENDED,,TRUE
syn-0040,EVENT,250.2142727418037,VL-201,,,,,,,DECLINED,TRUE
syn-0040,RECOMMENDATION,279.6,PL-401,EDUCATION,133600.0,120,BORROW_60_LIQUIDATE_40,0.673,RECOMMENDED,,TRUE
syn-0040,EVENT,279.31787728580605,PL-401,,,,,,,VIEWED,TRUE
syn-0040,RECOMMENDATION,532.7,VL-202,EDUCATION,2315300.0,24,BORROW_20_LIQUIDATE_80,0.342,RECOMMENDED,,TRUE
syn-0040,EVENT,532.4076518357914,VL-202,,,,,,,ACCEPTED,TRUE
syn-0044,RECOMMENDATION,258.1,VL-201,EDUCATION,104900.0,120,LIQUIDATE_100,0.519,RECOMMENDED,,TRUE
syn-0044,EVENT,257.12984064158553,VL-201,,,,,,,ACCEPTED,TRUE
syn-0044,RECOMMENDATION,268.5,EL-301,BUSINESS,836300.0,12,LIQUIDATE_100,0.589,RECOMMENDED,,TRUE
syn-0044,EVENT,267.93628573621504,EL-301,,,,,,,VIEWED,TRUE
syn-0049,RECOMMENDATION,373.2,BL-601,BUSINESS,777800.0,24,BORROW_20_LIQUIDATE_80,0.616,RECOMMENDED,,TRUE
syn-0049,EVENT,373.0188382012381,BL-601,,,,,,,VIEWED,TRUE
syn-0049,RECOMMENDATION,515.6,HL-101,MEDICAL,349000.0,12,BORROW_60_LIQUIDATE_40,0.328,RECOMMENDED,,TRUE
syn-0049,EVENT,514.6982513654443,HL-101,,,,,,,DECLINED,TRUE
syn-0049,RECOMMENDATION,475.5,VL-202,EDUCATION,100900.0,24,BORROW_80_LIQUIDATE_20,0.55,RECOMMENDED,,TRUE
syn-0049,EVENT,475.24471618505817,VL-202,,,,,,,DECLINED,TRUE
syn-0049,RECOMMENDATION,74.3,HL-101,HOME,922600.0,24,BORROW_60_LIQUIDATE_40,0.762,RECOMMENDED,,TRUE
syn-0049,EVENT,73.92817002559056,HL-101,,,,,,,DECLINED,TRUE
syn-0050,RECOMMENDATION,491.2,PL-402,HOME,486900.0,12,BORROW_100,0.702,RECOMMENDED,,TRUE
syn-0050,EVENT,490.74335998422197,PL-402,,,,,,,VIEWED,TRUE
syn-0050,RECOMMENDATION,258.4,HL-102,PERSONAL,715700.0,60,LIQUIDATE_100,0.658,RECOMMENDED,,TRUE
syn-0050,EVENT,258.23513368373347,HL-102,,,,,,,VIEWED,TRUE
syn-0050,RECOMMENDATION,20.5,HL-101,EDUCATION,3825800.0,60,BORROW_100,0.52,RECOMMENDED,,TRUE
syn-0050,EVENT,19.985914927786837,HL-101,,,,,,,ACCEPTED,TRUE
syn-0053,RECOMMENDATION,324.1,HL-102,EDUCATION,264700.0,12,BORROW_40_LIQUIDATE_60,0.331,RECOMMENDED,,TRUE
syn-0053,EVENT,323.33611337423787,HL-102,,,,,,,ACCEPTED,TRUE
syn-0053,RECOMMENDATION,366.2,ML-501,HOME,962200.0,36,BORROW_80_LIQUIDATE_20,0.586,RECOMMENDED,,TRUE
syn-0053,EVENT,365.78509302540806,ML-501,,,,,,,VIEWED,TRUE
syn-0053,RECOMMENDATION,511.0,VL-202,HOME,2626400.0,60,BORROW_80_LIQUIDATE_20,0.901,RECOMMENDED,,TRUE
syn-0053,EVENT,510.5903958675088,VL-202,,,,,,,VIEWED,TRUE
syn-0053,RECOMMENDATION,244.4,HL-101,BUSINESS,151200.0,24,BORROW_100,0.699,RECOMMENDED,,TRUE
syn-0053,EVENT,243.41541405415364,HL-101,,,,,,,VIEWED,TRUE
syn-0053,RECOMMENDATION,370.0,VL-201,VEHICLE,5667400.0,120,BORROW_100,0.334,RECOMMENDED,,TRUE
syn-0053,EVENT,369.24700290175014,VL-201,,,,,,,VIEWED,TRUE
syn-0057,RECOMMENDATION,112.3,ML-501,PERSONAL,147400.0,12,BORROW_20_LIQUIDATE_80,0.681,RECOMMENDED,,TRUE
syn-0057,EVENT,111.4424595843163,ML-501,,,,,,,VIEWED,TRUE
syn-0057,RECOMMENDATION,489.8,HL-103,BUSINESS,1020900.0,84,LIQUIDATE_100,0.889,RECOMMENDED,,TRUE
syn-0057,EVENT,488.9136178736173,HL-103,,,,,,,DECLINED,TRUE
syn-0057,RECOMMENDATION,151.2,EL-301,EDUCATION,455600.0,36,BORROW_60_LIQUIDATE_40,0.62,RECOMMENDED,,TRUE
syn-0057,EVENT,151.04116938701375,EL-301,,,,,,,VIEWED,TRUE
syn-0057,RECOMMENDATION,119.0,HL-102,VEHICLE,171900.0,60,BORROW_60_LIQUIDATE_40,0.643,RECOMMENDED,,TRUE
syn-0057,EVENT,118.34357995782776,HL-102,,,,,,,DECLINED,TRUE
syn-0058,RECOMMENDATION,453.4,EL-301,PERSONAL,178000.0,36,BORROW_100,0.441,RECOMMENDED,,TRUE
syn-0058,EVENT,452.8970134615753,EL-301,,,,,,,ACCEPTED,TRUE
syn-0058,RECOMMENDATION,372.8,PL-402,EDUCATION,218800.0,120,LIQUIDATE_100,0.851,RECOMMENDED,,TRUE
syn-0058,EVENT,372.1638744088852,PL-402,,,,,,,DECLINED,TRUE
syn-0058,RECOMMENDATION,289.7,HL-101,PERSONAL,3449700.0,12,BORROW_100,0.624,RECOMMENDED,,TRUE
syn-0058,EVENT,288.96906407489854,HL-101,,,,,,,VIEWED,TRUE
syn-0064,RECOMMENDATION,107.4,ML-501,MEDICAL,882700.0,24,LIQUIDATE_100,0.641,RECOMMENDED,,TRUE
syn-0064,EVENT,106.84326860804022,ML-501,,,,,,,VIEWED,TRUE
syn-0064,RECOMMENDATION,392.8,BL-603,VEHICLE,944700.0,24,BORROW_60_LIQUIDATE_40,0.684,RECOMMENDED,,TRUE
syn-0064,EVENT,392.3126884438057,BL-603,,,,,,,VIEWED,TRUE
syn-0066,RECOMMENDATION,413.3,BL-601,EDUCATION,1784100.0,36,BORROW_40_LIQUIDATE_60,0.432,RECOMMENDED,,TRUE
syn-0066,EVENT,412.5495148284609,BL-601,,,,,,,DECLINED,TRUE
syn-0066,RECOMMENDATION,180.8,PL-402,VEHICLE,978500.0,120,LIQUIDATE_100,0.395,RECOMMENDED,,TRUE
syn-0066,EVENT,180.7194482362912,PL-402,,,,,,,VIEWED,TRUE
syn-0066,RECOMMENDATION,512.9,BL-603,PERSONAL,908200.0,12,BORROW_100,0.571,RECOMMENDED,,TRUE
syn-0066,EVENT,512.103405785768,BL-603,,,,,,,ACCEPTED,TRUE
syn-0066,RECOMMENDATION,524.3,PL-403,VEHICLE,519500.0,24,BORROW_100,0.795,RECOMMENDED,,TRUE
syn-0066,EVENT,524.0615830176899,PL-403,,,,,,,VIEWED,TRUE
syn-0066,RECOMMENDATION,449.6,PL-403,HOME,1326700.0,36,BORROW_80_LIQUIDATE_20,0.777,RECOMMENDED,,TRUE
syn-0066,EVENT,448.9653576674758,PL-403,,,,,,,VIEWED,TRUE
syn-0071,RECOMMENDATION,215.1,VL-202,MEDICAL,133000.0,84,BORROW_60_LIQUIDATE_40,0.458,RECOMMENDED,,TRUE
syn-0071,EVENT,214.649022431522,VL-202,,,,,,,VIEWED,TRUE
syn-0071,RECOMMENDATION,340.6,BL-603,PERSONAL,183600.0,12,BORROW_60_LIQUIDATE_40,0.867,RECOMMENDED,,TRUE
syn-0071,EVENT,340.1996590096397,BL-603,,,,,,,VIEWED,TRUE
syn-0071,RECOMMENDATION,358.6,BL-602,VEHICLE,3771800.0,120,LIQUIDATE_100,0.924,RECOMMENDED,,TRUE
syn-0071,EVENT,357.77301658712435,BL-602,,,,,,,VIEWED,TRUE
syn-0074,RECOMMENDATION,50.5,VL-202,MEDICAL,111600.0,12,BORROW_40_LIQUIDATE_60,0.578,RECOMMENDED,,TRUE
syn-0074,EVENT,49.93984531552318,VL-202,,,,,,,VIEWED,TRUE
syn-0074,RECOMMENDATION,12.2,VL-202,BUSINESS,1177500.0,24,LIQUIDATE_100,0.919,RECOMMENDED,,TRUE
syn-0074,EVENT,11.559982138511176,VL-202,,,,,,,VIEWED,TRUE
syn-0074,RECOMMENDATION,511.2,HL-102,EDUCATION,1266900.0,60,BORROW_80_LIQUIDATE_20,0.342,RECOMMENDED,,TRUE
syn-0074,EVENT,510.853661205325,HL-102,,,,,,,DECLINED,TRUE
syn-0074,RECOMMENDATION,346.6,VL-202,HOME,217200.0,48,BORROW_80_LIQUIDATE_20,0.345,RECOMMENDED,,TRUE
syn-0074,EVENT,345.798474037118,VL-202,,,,,,,VIEWED,TRUE
syn-0074,RECOMMENDATION,210.2,PL-403,VEHICLE,2881900.0,120,BORROW_80_LIQUIDATE_20,0.427,RECOMMENDED,,TRUE
syn-0074,EVENT,210.0524824934459,PL-403,,,,,,,ACCEPTED,TRUE
syn-0076,RECOMMENDATION,288.4,HL-102,VEHICLE,5946900.0,36,BORROW_20_LIQUIDATE_80,0.626,RECOMMENDED,,TRUE
syn-0076,EVENT,287.98287358593285,HL-102,,,,,,,VIEWED,TRUE
syn-0076,RECOMMENDATION,61.4,VL-202,EDUCATION,2031600.0,48,BORROW_20_LIQUIDATE_80,0.848,RECOMMENDED,,TRUE
syn-0076,EVENT,60.95445349949202,VL-202,,,,,,,ACCEPTED,TRUE
syn-0076,RECOMMENDATION,10.0,ML-501,HOME,215600.0,48,LIQUIDATE_100,0.351,RECOMMENDED,,TRUE
syn-0076,EVENT,9.758272254168109,ML-501,,,,,,,ACCEPTED,TRUE
syn-0077,RECOMMENDATION,386.6,BL-602,BUSINESS,207100.0,120,BORROW_80_LIQUIDATE_20,0.943,RECOMMENDED,,TRUE
syn-0077,EVENT,386.21724667826385,BL-602,,,,,,,DECLINED,TRUE
syn-0077,RECOMMENDATION,434.3,PL-401,PERSONAL,267700.0,60,LIQUIDATE_100,0.844,RECOMMENDED,,TRUE
syn-0077,EVENT,433.74633048076316,PL-401,,,,,,,VIEWED,TRUE
syn-0080,RECOMMENDATION,209.5,EL-302,PERSONAL,186700.0,120,BORROW_40_LIQUIDATE_60,0.678,RECOMMENDED,,TRUE
syn-0080,EVENT,208.84247399012233,EL-302,,,,,,,VIEWED,TRUE
syn-0080,RECOMMENDATION,25.9,PL-401,EDUCATION,1442800.0,48,BORROW_20_LIQUIDATE_80,0.822,RECOMMENDED,,TRUE
syn-0080,EVENT,24.90134382796499,PL-401,,,,,,,DECLINED,TRUE
syn-0083,RECOMMENDATION,314.2,PL-401,VEHICLE,463200.0,120,BORROW_40_LIQUIDATE_60,0.439,RECOMMENDED,,TRUE
syn-0083,EVENT,313.99333266986054,PL-401,,,,,,,DECLINED,TRUE
syn-0085,RECOMMENDATION,474.5,ML-501,VEHICLE,213800.0,120,BORROW_100,0.802,RECOMMENDED,,TRUE
syn-0085,EVENT,473.55155696742577,ML-501,,,,,,,VIEWED,TRUE
syn-0085,RECOMMENDATION,7.1,BL-602,EDUCATION,3584500.0,84,LIQUIDATE_100,0.434,RECOMMENDED,,TRUE
syn-0085,EVENT,6.109773070180463,BL-602,,,,,,,VIEWED,TRUE
syn-0085,RECOMMENDATION,424.7,VL-201,BUSINESS,314500.0,24,BORROW_100,0.391,RECOMMENDED,,TRUE
syn-0085,EVENT,423.9094542413265,VL-201,,,,,,,ACCEPTED,TRUE
syn-0085,RECOMMENDATION,493.7,HL-103,EDUCATION,742800.0,120,LIQUIDATE_100,0.489,RECOMMENDED,,TRUE
syn-0085,EVENT,493.1208010080504,HL-103,,,,,,,DECLINED,TRUE
syn-0092,RECOMMENDATION,539.5,EL-301,HOME,819200.0,36,BORROW_80_LIQUIDATE_20,0.683,RECOMMENDED,,TRUE
syn-0092,EVENT,539.3865997912413,EL-301,,,,,,,VIEWED,TRUE
syn-0092,RECOMMENDATION,467.0,BL-601,PERSONAL,1820500.0,60,BORROW_100,0.489,RECOMMENDED,,TRUE
syn-0092,EVENT,466.96437634186606,BL-601,,,,,,,DECLINED,TRUE
syn-0092,RECOMMENDATION,176.7,PL-403,EDUCATION,138200.0,60,LIQUIDATE_100,0.476,RECOMMENDED,,TRUE
syn-0092,EVENT,176.56983435544734,PL-403,,,,,,,DECLINED,TRUE
syn-0092,RECOMMENDATION,391.3,HL-102,EDUCATION,3551600.0,84,BORROW_60_LIQUIDATE_40,0.403,RECOMMENDED,,TRUE
syn-0092,EVENT,391.1155655094706,HL-102,,,,,,,DECLINED,TRUE
syn-0092,RECOMMENDATION,379.3,BL-601,HOME,106400.0,24,BORROW_60_LIQUIDATE_40,0.481,RECOMMENDED,,TRUE
syn-0092,EVENT,378.4719161091966,BL-601,,,,,,,VIEWED,TRUE
syn-0093,RECOMMENDATION,114.9,EL-302,VEHICLE,119300.0,84,BORROW_40_LIQUIDATE_60,0.515,RECOMMENDED,,TRUE
syn-0093,EVENT,114.32571851722449,EL-302,,,,,,,VIEWED,TRUE
syn-0093,RECOMMENDATION,229.0,EL-302,BUSINESS,4568700.0,60,BORROW_80_LIQUIDATE_20,0.409,RECOMMENDED,,TRUE
syn-0093,EVENT,228.52752291413347,EL-302,,,,,,,VIEWED,TRUE
syn-0098,RECOMMENDATION,90.8,BL-603,HOME,465500.0,60,BORROW_20_LIQUIDATE_80,0.842,RECOMMENDED,,TRUE
syn-0098,EVENT,90.24025148553001,BL-603,,,,,,,ACCEPTED,TRUE
syn-0098,RECOMMENDATION,164.5,PL-402,VEHICLE,1856100.0,84,BORROW_20_LIQUIDATE_80,0.679,RECOMMENDED,,TRUE
syn-0098,EVENT,164.36628481564577,PL-402,,,,,,,DECLINED,TRUE
syn-0098,RECOMMENDATION,515.2,PL-402,HOME,259900.0,24,BORROW_20_LIQUIDATE_80,0.725,RECOMMENDED,,TRUE
syn-0098,EVENT,514.724573022575,PL-402,,,,,,,VIEWED,TRUE
syn-0098,RECOMMENDATION,249.5,BL-603,MEDICAL,1170000.0,24,BORROW_100,0.439,RECOMMENDED,,TRUE
syn-0098,EVENT,248.89547524293718,BL-603,,,,,,,DECLINED,TRUE
syn-0098,RECOMMENDATION,471.3,HL-103,PERSONAL,262500.0,24,BORROW_60_LIQUIDATE_40,0.795,RECOMMENDED,,TRUE
syn-0098,EVENT,470.5592222509842,HL-103,,,,,,,VIEWED,TRUE
syn-0099,RECOMMENDATION,203.3,BL-602,PERSONAL,738100.0,24,BORROW_20_LIQUIDATE_80,0.603,RECOMMENDED,,TRUE
syn-0099,EVENT,203.0017840478968,BL-602,,,,,,,VIEWED,TRUE
syn-0099,RECOMMENDATION,383.6,ML-501,EDUCATION,1808000.0,24,LIQUIDATE_100,0.768,RECOMMENDED,,TRUE
syn-0099,EVENT,383.49989777044095,ML-501,,,,,,,VIEWED,TRUE
syn-0101,RECOMMENDATION,210.3,BL-603,VEHICLE,1614100.0,60,BORROW_40_LIQUIDATE_60,0.557,RECOMMENDED,,TRUE
syn-0101,EVENT,209.9261526457117,BL-603,,,,,,,ACCEPTED,TRUE
syn-0101,RECOMMENDATION,302.1,HL-103,VEHICLE,893500.0,48,BORROW_40_LIQUIDATE_60,0.5,RECOMMENDED,,TRUE
syn-0101,EVENT,301.3319653382566,HL-103,,,,,,,VIEWED,TRUE
syn-0101,RECOMMENDATION,431.0,HL-102,MEDICAL,1688000.0,12,BORROW_80_LIQUIDATE_20,0.575,RECOMMENDED,,TRUE
syn-0101,EVENT,430.89307263677534,HL-102,,,,,,,VIEWED,TRUE
syn-0101,RECOMMENDATION,196.1,ML-501,EDUCATION,160800.0,36,LIQUIDATE_100,0.869,RECOMMENDED,,TRUE
syn-0101,EVENT,195.42698879208552,ML-501,,,,,,,VIEWED,TRUE
syn-0101,RECOMMENDATION,161.5,VL-201,BUSINESS,3231300.0,12,BORROW_60_LIQUIDATE_40,0.906,RECOMMENDED,,TRUE
syn-0101,EVENT,160.88707461662526,VL-201,,,,,,,VIEWED,TRUE
syn-0103,RECOMMENDATION,473.4,HL-102,BUSINESS,1350600.0,12,BORROW_60_LIQUIDATE_40,0.375,RECOMMENDED,,TRUE
syn-0103,EVENT,472.4347762185836,HL-102,,,,,,,ACCEPTED,TRUE
syn-0103,RECOMMENDATION,375.5,PL-403,BUSINESS,3952900.0,12,BORROW_80_LIQUIDATE_20,0.826,RECOMMENDED,,TRUE
syn-0103,EVENT,374.9202725374388,PL-403,,,,,,,VIEWED,TRUE
syn-0103,RECOMMENDATION,213.9,ML-501,HOME,140200.0,60,LIQUIDATE_100,0.693,RECOMMENDED,,TRUE
syn-0103,EVENT,213.86483932573063,ML-501,,,,,,,VIEWED,TRUE
syn-0103,RECOMMENDATION,424.4,PL-403,BUSINESS,111200.0,60,BORROW_40_LIQUIDATE_60,0.42,RECOMMENDED,,TRUE
syn-0103,EVENT,424.3175320798012,PL-403,,,,,,,ACCEPTED,TRUE
syn-0109,RECOMMENDATION,196.6,PL-401,VEHICLE,405200.0,120,BORROW_20_LIQUIDATE_80,0.892,RECOMMENDED,,TRUE
syn-0109,EVENT,196.1392351688046,PL-401,,,,,,,ACCEPTED,TRUE
syn-0109,RECOMMENDATION,432.9,PL-402,VEHICLE,1184400.0,60,BORROW_80_LIQUIDATE_20,0.631,RECOMMENDED,,TRUE
syn-0109,EVENT,432.16134204272373,PL-402,,,,,,,VIEWED,TRUE
syn-0109,RECOMMENDATION,288.9,HL-103,HOME,150100.0,12,BORROW_100,0.386,RECOMMENDED,,TRUE
syn-0109,EVENT,288.6727158763489,HL-103,,,,,,,ACCEPTED,TRUE
syn-0111,RECOMMENDATION,121.7,VL-201,PERSONAL,571300.0,120,BORROW_80_LIQUIDATE_20,0.387,RECOMMENDED,,TRUE
syn-0111,EVENT,120.89553777626509,VL-201,,,,,,,VIEWED,TRUE
syn-0111,RECOMMENDATION,272.9,HL-102,EDUCATION,245500.0,36,BORROW_20_LIQUIDATE_80,0.614,RECOMMENDED,,TRUE
syn-0111,EVENT,272.05914963639844,HL-102,,,,,,,VIEWED,TRUE
syn-0111,RECOMMENDATION,173.1,HL-103,EDUCATION,801400.0,60,BORROW_20_LIQUIDATE_80,0.401,RECOMMENDED,,TRUE
syn-0111,EVENT,172.65783476695495,HL-103,,,,,,,VIEWED,TRUE
syn-0111,RECOMMENDATION,376.5,PL-403,BUSINESS,198100.0,84,BORROW_60_LIQUIDATE_40,0.658,RECOMMENDED,,TRUE
syn-0111,EVENT,376.2341992429998,PL-403,,,,,,,ACCEPTED,TRUE
syn-0111,RECOMMENDATION,352.4,HL-103,MEDICAL,2133900.0,60,BORROW_40_LIQUIDATE_60,0.523,RECOMMENDED,,TRUE
syn-0111,EVENT,351.49046288728545,HL-103,,,,,,,DECLINED,TRUE
syn-0112,RECOMMENDATION,177.4,PL-402,VEHICLE,159700.0,48,BORROW_20_LIQUIDATE_80,0.513,RECOMMENDED,,TRUE
syn-0112,EVENT,176.83640696890453,PL-402,,,,,,,VIEWED,TRUE
syn-0112,RECOMMENDATION,73.0,HL-101,BUSINESS,3775500.0,120,BORROW_100,0.54,RECOMMENDED,,TRUE
syn-0112,EVENT,72.79352324874077,HL-101,,,,,,,DECLINED,TRUE
syn-0112,RECOMMENDATION,375.4,VL-201,MEDICAL,1361800.0,36,LIQUIDATE_100,0.79,RECOMMENDED,,TRUE
syn-0112,EVENT,374.6764784556475,VL-201,,,,,,,DECLINED,TRUE
syn-0114,RECOMMENDATION,235.8,BL-603,PERSONAL,5518700.0,48,BORROW_60_LIQUIDATE_40,0.724,RECOMMENDED,,TRUE
syn-0114,EVENT,235.1503063880211,BL-603,,,,,,,ACCEPTED,TRUE
syn-0114,RECOMMENDATION,195.3,BL-601,BUSINESS,672900.0,24,BORROW_20_LIQUIDATE_80,0.823,RECOMMENDED,,TRUE
syn-0114,EVENT,195.01203332500228,BL-601,,,,,,,VIEWED,TRUE
syn-0115,RECOMMENDATION,522.0,HL-102,VEHICLE,3687700.0,60,BORROW_20_LIQUIDATE_80,0.325,RECOMMENDED,,TRUE
syn-0115,EVENT,521.5927015209735,HL-102,,,,,,,DECLINED,TRUE
syn-0115,RECOMMENDATION,200.1,BL-601,PERSONAL,135500.0,84,LIQUIDATE_100,0.645,RECOMMENDED,,TRUE
syn-0115,EVENT,199.4402257254636,BL-601,,,,,,,ACCEPTED,TRUE
