# SYNTHETIC REPAYMENT OUTCOMES — drawn by training/generate_risk_outcomes.py from a documented latent-risk model. Nobody defaulted; nobody exists.
user_id,defaulted,latent_default_probability,latent_shock,SYNTHETIC
syn-0102,0,0.024534,-1.282146,TRUE
syn-0103,0,0.219229,-0.640856,TRUE
syn-0104,0,0.001964,-0.846409,TRUE
syn-0105,0,0.047275,0.716857,TRUE
syn-0106,0,0.005702,-0.716975,TRUE
syn-0107,0,0.025664,-0.798767,TRUE
syn-0108,0,0.133523,1.145094,TRUE
syn-0109,0,0.130511,-0.108855,TRUE
syn-0110,0,0.179673,-0.263559,TRUE
syn-0111,1,0.135271,0.323296,TRUE
syn-0112,1,0.143692,0.638568,TRUE
syn-0113,1,0.839714,1.538348,TRUE
syn-0114,1,0.174144,0.02157,TRUE
syn-0115,0,0.170285,0.285325,TRUE
syn-0116,0,0.087528,-0.92971,TRUE
syn-0117,0,0.020441,-1.496778,TRUE
syn-0118,0,0.018224,-0.736279,TRUE
syn-0119,0,0.00132,-2.474824,TRUE
syn-0120,0,0.028177,0.020001,TRUE
syn-0121,0,0.677289,1.402751,TRUE
syn-0122,0,0.012526,-0.523616,TRUE
syn-0123,0,0.011104,-1.182003,TRUE
syn-0124,1,0.173538,0.68783,TRUE
syn-0125,0,0.034913,-1.023313,TRUE
syn-0126,0,0.046237,-0.279274,TRUE
syn-0127,0,0.019677,-0.783471,TRUE
syn-0128,1,0.190894,-0.67513,TRUE
syn-0129,0,0.064714,-0.36086,TRUE
syn-0130,0,0.021294,-2.353781,TRUE
syn-0131,0,0.165414,1.245269,TRUE
syn-0132,0,0.882797,0.352002,TRUE
syn-0133,0,0.017351,-1.364759,TRUE
syn-0134,0,0.182012,1.013521,TRUE
syn-0135,1,0.57936,0.936664,TRUE
syn-0136,1,0.58943,0.026708,TRUE
syn-0137,0,0.168703,0.173148,TRUE
syn-0138,0,0.001084,-3.029581,TRUE
syn-0139,0,0.071228,0.044147,TRUE
syn-0140,1,0.190821,0.164371,TRUE
syn-0141,0,0.070684,0.553969,TRUE
syn-0142,0,0.017591,-0.795241,TRUE
syn-0143,0,0.090039,0.948098,TRUE
syn-0144,0,0.039793,-0.531893,TRUE
syn-0145,0,0.02062,-1.847912,TRUE
syn-0146,0,0.221235,-0.194605,TRUE
syn-0147,0,0.077467,0.200163,TRUE
syn-0148,0,0.219215,1.692765,TRUE
syn-0149,0,0.00802,-0.614802,TRUE
syn-0150,0,0.300942,-0.184486,TRUE
syn-0151,0,0.035809,0.0751,TRUE
syn-0152,1,0.383361,1.394286,TRUE
syn-0153,0,0.013392,-0.576672,TRUE
syn-0154,0,0.517006,1.691133,TRUE
syn-0155,0,0.261806,1.416264,TRUE
syn-0156,0,0.037658,-0.786809,TRUE
syn-0157,0,0.0161,-0.911574,TRUE
syn-0158,0,0.0139,-0.282317,TRUE
syn-0159,1,0.237022,0.180751,TRUE
syn-0160,0,0.189157,1.187617,TRUE
syn-0161,0,0.047372,-0.347693,TRUE
syn-0162,0,0.357463,1.33043,TRUE
syn-0163,0,0.002025,-1.675333,TRUE
syn-0164,0,0.468079,1.15625,TRUE
syn-0165,0,0.007729,0.998958,TRUE
syn-0166,0,0.120569,0.555487,TRUE
syn-0167,0,0.362699,1.335688,TRUE
syn-0168,0,0.063362,0.397521,TRUE
syn-0169,0,0.123764,-1.013804,TRUE
syn-0170,0,0.024458,-0.979706,TRUE
syn-0171,0,0.029909,-0.980295,TRUE
syn-0172,1,0.115864,0.759899,TRUE
syn-0173,0,0.049473,0.280346,TRUE
syn-0174,0,0.085198,-0.779703,TRUE
syn-0175,1,0.737363,0.429934,TRUE
syn-0176,0,0.011183,0.185777,TRUE
syn-0177,0,0.01506,-1.589238,TRUE
syn-0178,1,0.148281,0.066694,TRUE
syn-0179,0,0.108045,-0.075563,TRUE
syn-0180,0,0.089144,0.131893,TRUE
syn-0181,0,0.036196,0.306931,TRUE
syn-0182,1,0.333381,-0.451769,TRUE
syn-0183,0,0.160435,1.026324,TRUE
syn-0184,0,0.069788,0.522333,TRUE
syn-0185,0,0.070632,-0.709298,TRUE
syn-0186,1,0.104265,0.782276,TRUE
syn-0187,0,0.004602,-1.358469,TRUE
syn-0188,0,0.155355,0.354379,TRUE
syn-0189,0,0.010506,-0.440816,TRUE
syn-0190,1,0.630778,2.288026,TRUE
syn-0191,0,0.005068,-0.312346,TRUE
syn-0192,0,0.002638,-0.924483,TRUE
syn-0193,0,0.009988,0.159841,TRUE
syn-0194,0,0.418131,2.387375,TRUE
syn-0195,0,0.009236,-0.524021,TRUE
syn-0196,0,0.025639,0.484097,TRUE
syn-0197,1,0.054089,0.224341,TRUE
syn-0198,1,0.042882,-0.29028,TRUE
syn-0199,0,0.333082,0.435689,TRUE
syn-0200,0,0.014411,0.15841,TRUE
syn-0201,0,0.083012,-0.676516,TRUE
syn-0202,0,0.044549,0.069852,TRUE
syn-0203,0,0.091484,-0.868181,TRUE
syn-0204,0,0.005397,-1.191663,TRUE
syn-0205,0,0.116855,-0.458635,TRUE
syn-0206,0,0.32816,0.443066,TRUE
syn-0207,0,0.007138,-1.110009,TRUE
syn-0208,1,0.204433,-1.043118,TRUE
syn-0209,0,0.006277,-1.146037,TRUE
syn-0210,1,0.251653,1.276201,TRUE
syn-0211,0,0.133867,-0.160823,TRUE
syn-0212,0,0.144536,-0.732042,TRUE
syn-0213,0,0.530889,0.8008,TRUE
syn-0214,0,0.007449,-1.575355,TRUE
syn-0215,0,0.131226,0.084556,TRUE
syn-0216,0,0.094625,0.384958,TRUE
syn-0217,1,0.427813,0.693275,TRUE
syn-0218,0,0.396357,0.416237,TRUE
syn-0219,0,0.029643,0.233291,TRUE
syn-0220,1,0.808359,1.693177,TRUE
syn-0221,0,0.097457,-0.49333,TRUE
syn-0222,0,0.099218,0.324268,TRUE
syn-0223,1,0.204053,0.500628,TRUE
syn-0224,0,0.09073,0.039864,TRUE
syn-0225,0,0.007159,-1.404441,TRUE
syn-0226,1,0.871521,1.239237,TRUE
syn-0227,0,0.008494,-0.734048,TRUE
syn-0228,0,0.003064,-0.342716,TRUE
syn-0229,0,0.268458,0.345205,TRUE
syn-0230,0,0.014643,-1.172977,TRUE
syn-0231,0,0.011356,-1.113916,TRUE
syn-0232,0,0.29371,0.573594,TRUE
syn-0233,0,0.06296,0.133992,TRUE
syn-0234,0,0.636844,-0.083347,TRUE
syn-0235,0,0.026004,0.254758,TRUE
syn-0236,0,0.01156,0.85137,TRUE
syn-0237,0,0.135893,0.016195,TRUE
syn-0238,0,0.011964,0.602816,TRUE
syn-0239,1,0.12139,-0.082653,TRUE
syn-0240,0,0.066573,-0.534778,TRUE
syn-0241,0,0.101075,1.784894,TRUE
syn-0242,0,0.060701,-0.5504,TRUE
syn-0243,0,0.001566,-1.649423,TRUE
syn-0244,0,0.055032,1.042148,TRUE
syn-0245,0,0.010881,-0.225524,TRUE
syn-0246,1,0.672464,1.471492,TRUE
syn-0247,0,0.023515,-0.25824,TRUE
syn-0248,0,0.233739,1.853237,TRUE
syn-0249,0,0.356273,0.506406,TRUE
syn-0250,0,0.047218,-1.238086,TRUE
syn-0251,0,0.040337,-0.218429,TRUE
syn-0252,0,0.071775,1.273069,TRUE
syn-0253,0,0.049211,0.341304,TRUE
syn-0254,0,0.609097,0.169902,TRUE
syn-0255,0,0.319687,1.686719,TRUE
syn-0256,0,0.033015,-1.190086,TRUE
syn-0257,1,0.25733,1.772359,TRUE
syn-0258,1,0.04079,-1.115407,TRUE
syn-0259,0,0.072296,0.487062,TRUE
syn-0260,0,0.00169,-1.209743,TRUE
syn-0261,0,0.045604,0.196644,TRUE
syn-0262,0,0.13952,0.564468,TRUE
syn-0263,0,0.402132,1.501069,TRUE
syn-0264,0,0.034528,0.939661,TRUE
syn-0265,0,0.16093,1.062447,TRUE
syn-0266,1,0.837663,1.613345,TRUE
syn-0267,0,0.004471,-1.677407,TRUE
syn-0268,0,0.432511,0.258992,TRUE
syn-0269,0,0.003127,-0.083533,TRUE
syn-0270,0,0.00806,-0.521057,TRUE
syn-0271,0,0.056458,-0.966573,TRUE
syn-0272,0,0.068604,0.347927,TRUE
syn-0273,0,0.2269,0.656709,TRUE
syn-0274,0,0.252194,-1.05295,TRUE
syn-0275,0,0.040768,0.497031,TRUE
syn-0276,0,0.56278,1.447188,TRUE
syn-0277,1,0.338552,-0.005341,TRUE
syn-0278,0,0.026556,0.517243,TRUE
syn-0279,0,0.028865,-0.438991,TRUE
syn-0280,0,0.007158,-0.935244,TRUE
syn-0281,1,0.183341,-0.48608,TRUE
syn-0282,0,0.034949,-0.484515,TRUE
syn-0283,1,0.412475,0.402493,TRUE
syn-0284,0,0.112131,1.552912,TRUE
syn-0285,0,0.028171,-0.975916,TRUE
syn-0286,0,0.116958,0.23299,TRUE
syn-0287,0,0.056944,-0.621639,TRUE
syn-0288,0,0.06378,-0.030181,TRUE
syn-0289,0,0.010743,-0.386801,TRUE
syn-0290,0,0.31081,0.644991,TRUE
syn-0291,0,0.001152,-1.565066,TRUE
syn-0292,0,0.011567,-0.901609,TRUE
syn-0293,0,0.020742,0.252128,TRUE
syn-0294,1,0.335781,0.313837,TRUE
syn-0295,0,0.235742,1.153534,TRUE
syn-0296,0,0.048399,-1.090686,TRUE
syn-0297,0,0.110705,0.551969,TRUE
syn-0298,0,0.029262,-0.565504,TRUE
syn-0299,0,0.694285,1.101453,TRUE
syn-0300,0,0.003889,-0.352043,TRUE
syn-0301,0,0.032814,-0.247926,TRUE
syn-0302,0,0.041021,-0.430415,TRUE
syn-0303,0,0.094157,0.242828,TRUE
syn-0304,0,0.054843,1.009859,TRUE
syn-0305,0,0.186131,0.823494,TRUE
syn-0306,0,0.051991,-0.715623,TRUE
syn-0307,0,0.082381,-0.460606,TRUE
syn-0308,1,0.203907,2.024806,TRUE
syn-0309,0,0.254494,0.900471,TRUE
syn-0310,0,0.040876,-0.59716,TRUE
syn-0311,0,0.282538,-0.452623,TRUE
syn-0312,0,0.0556,0.032635,TRUE
syn-0313,0,0.254439,-0.749921,TRUE
syn-0314,0,0.017429,-0.303856,TRUE
syn-0315,0,0.007597,-0.803046,TRUE
syn-0316,0,0.003719,-1.38968,TRUE
syn-0317,0,0.008866,-2.03824,TRUE
syn-0318,1,0.430729,0.22083,TRUE
syn-0319,0,0.399305,1.163104,TRUE
syn-0320,0,0.030753,0.35364,TRUE
syn-0321,0,0.011682,0.432263,TRUE
syn-0322,1,0.087289,0.22735,TRUE
syn-0323,1,0.038432,0.494406,TRUE
syn-0324,1,0.213487,-1.126302,TRUE
syn-0325,0,0.070471,-1.590256,TRUE
syn-0326,0,0.03361,-0.62851,TRUE
syn-0327,0,0.012525,-0.101613,TRUE
syn-0328,0,0.044763,-0.517527,TRUE
syn-0329,0,0.098059,-0.667561,TRUE
syn-0330,0,0.034965,-0.524397,TRUE
syn-0331,0,0.048303,0.420665,TRUE
syn-0332,0,0.030079,0.205431,TRUE
syn-0333,0,0.176884,0.549099,TRUE
syn-0334,0,0.196846,0.759564,TRUE
syn-0335,1,0.529721,2.13997,TRUE
syn-0336,0,0.086365,0.121415,TRUE
syn-0337,1,0.487427,1.082958,TRUE
syn-0338,0,0.760058,1.697235,TRUE
syn-0339,0,0.133293,0.544895,TRUE
syn-0340,0,0.066752,0.220356,TRUE
syn-0341,0,0.180018,0.797034,TRUE
syn-0342,0,0.057582,-0.715045,TRUE
syn-0343,0,0.165955,0.156964,TRUE
syn-0344,0,0.187354,1.147539,TRUE
syn-0345,0,0.047427,-0.350292,TRUE
syn-0346,0,0.042293,-0.426608,TRUE
syn-0347,0,0.004714,-1.500711,TRUE
syn-0348,0,0.440323,0.517385,TRUE
syn-0349,1,0.908266,0.864602,TRUE
syn-0350,0,0.041842,-1.195455,TRUE
syn-0351,0,0.009756,0.596964,TRUE
syn-0352,0,0.357987,0.916096,TRUE
syn-0353,0,0.069083,0.642106,TRUE
syn-0354,0,0.329658,1.334757,TRUE
syn-0355,0,0.148533,0.976135,TRUE
syn-0356,0,0.271995,1.579423,TRUE
syn-0357,0,0.15057,-0.62573,TRUE
syn-0358,0,0.041855,-0.640517,TRUE
syn-0359,0,0.283547,0.212494,TRUE
syn-0360,0,0.413218,0.056516,TRUE
syn-0361,0,0.001603,-0.929903,TRUE
syn-0362,0,0.281644,0.837976,TRUE
syn-0363,0,0.084154,-0.103244,TRUE
syn-0364,0,0.065794,0.268101,TRUE
syn-0365,0,0.384601,0.841219,TRUE
syn-0366,0,0.028924,-0.642419,TRUE
syn-0367,0,0.008103,-1.807416,TRUE
syn-0368,0,0.578583,0.884985,TRUE
syn-0369,0,0.036838,-0.856744,TRUE
syn-0370,0,0.071608,-0.835774,TRUE
syn-0371,0,0.006671,-1.599209,TRUE
syn-0372,0,0.191741,0.794878,TRUE
syn-0373,0,0.293897,1.528454,TRUE
syn-0374,1,0.741691,1.786601,TRUE
syn-0375,1,0.187324,-0.257529,TRUE
syn-0376,0,0.037323,-0.659277,TRUE
syn-0377,1,0.623692,0.904855,TRUE
syn-0378,0,0.208097,1.0788,TRUE
syn-0379,0,0.007171,-0.34203,TRUE
syn-0380,0,0.024651,1.011516,TRUE
syn-0381,0,0.030481,0.400401,TRUE
syn-0382,0,0.033241,-0.187411,TRUE
syn-0383,0,0.003179,-1.643753,TRUE
syn-0384,0,0.123517,0.967709,TRUE
syn-0385,0,0.025154,-1.2203,TRUE
syn-0386,0,0.238631,0.97665,TRUE
syn-0387,1,0.555507,0.301864,TRUE
syn-0388,0,0.029049,-0.115717,TRUE
syn-0389,0,0.212333,0.411371,TRUE
syn-0390,1,0.578031,1.931174,TRUE
syn-0391,0,0.068909,-0.134513,TRUE
syn-0392,0,0.240277,-0.703849,TRUE
syn-0393,0,0.065967,-0.452644,TRUE
syn-0394,1,0.494167,2.656332,TRUE
syn-0395,0,0.005034,-0.87957,TRUE
syn-0396,0,0.011427,-1.045022,TRUE
syn-0397,0,0.008747,-0.531341,TRUE
syn-0398,0,0.229357,0.650557,TRUE
syn-0399,0,0.011387,-0.404838,TRUE
