# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios, products and interactions are fabricated. Not real banking data.
user_id,monthly_income,monthly_expenses,existing_emi,credit_score,employment_type,employment_years,age,dependents,purpose,required_amount,preferred_tenure_months,risk_appetite,SYNTHETIC
syn-0014,37000.0,24300.0,1400.0,665,RETIRED,2.8,35,0,PERSONAL,106000.0,24,MODERATE,TRUE
syn-0015,933000.0,645200.0,2200.0,609,RETIRED,3.5,53,2,MEDICAL,1433000.0,60,MODERATE,TRUE
syn-0016,700000.0,298500.0,123100.0,731,SELF_EMPLOYED,5.7,32,2,MEDICAL,2463000.0,48,MODERATE,TRUE
syn-0017,245600.0,119300.0,33000.0,800,RETIRED,2.4,35,2,MEDICAL,1230000.0,24,AGGRESSIVE,TRUE
syn-0018,417800.0,188800.0,35300.0,719,SALARIED,8.8,33,3,EDUCATION,10925000.0,84,CONSERVATIVE,TRUE
syn-0019,550800.0,237500.0,53300.0,832,CONTRACT,8.0,53,2,VEHICLE,5518000.0,60,CONSERVATIVE,TRUE
syn-0020,284400.0,177600.0,49000.0,707,SELF_EMPLOYED,12.0,38,2,BUSINESS,2183000.0,48,CONSERVATIVE,TRUE
syn-0021,456400.0,191900.0,29500.0,811,SALARIED,3.5,27,1,MEDICAL,3822000.0,12,AGGRESSIVE,TRUE
syn-0022,21800.0,8300.0,1000.0,812,SELF_EMPLOYED,0.7,54,3,BUSINESS,519000.0,120,AGGRESSIVE,TRUE
syn-0023,357800.0,153900.0,33900.0,777,SELF_EMPLOYED,4.6,32,1,MEDICAL,1142000.0,24,CONSERVATIVE,TRUE
syn-0024,342000.0,219700.0,7200.0,667,CONTRACT,12.4,38,2,PERSONAL,3334000.0,12,AGGRESSIVE,TRUE
syn-0025,27700.0,14000.0,500.0,705,CONTRACT,7.0,48,2,MEDICAL,193000.0,48,CONSERVATIVE,TRUE
syn-0026,29100.0,14700.0,4500.0,707,RETIRED,2.8,46,2,VEHICLE,354000.0,84,MODERATE,TRUE
syn-0027,62700.0,22300.0,8500.0,721,SELF_EMPLOYED,1.4,47,2,EDUCATION,1114000.0,84,CONSERVATIVE,TRUE
syn-0028,284400.0,149600.0,6500.0,717,SELF_EMPLOYED,5.9,28,1,VEHICLE,3220000.0,36,AGGRESSIVE,TRUE
syn-0029,115600.0,63400.0,5400.0,744,SELF_EMPLOYED,2.2,57,0,EDUCATION,2083000.0,24,MODERATE,TRUE
syn-0030,73700.0,43400.0,4800.0,501,CONTRACT,8.4,34,0,MEDICAL,428000.0,24,CONSERVATIVE,TRUE
syn-0031,47500.0,13900.0,1900.0,611,RETIRED,2.5,38,2,VEHICLE,712000.0,24,MODERATE,TRUE
syn-0032,215900.0,106200.0,19400.0,674,SALARIED,5.1,54,2,BUSINESS,5997000.0,24,AGGRESSIVE,TRUE
syn-0033,96300.0,54400.0,8400.0,692,SALARIED,10.9,25,1,HOME,4562000.0,60,CONSERVATIVE,TRUE
syn-0034,46100.0,19700.0,5400.0,720,SALARIED,9.7,33,0,MEDICAL,312000.0,12,CONSERVATIVE,TRUE
syn-0035,404700.0,217500.0,31700.0,737,RETIRED,5.5,35,2,PERSONAL,3454000.0,12,AGGRESSIVE,TRUE
syn-0036,151100.0,64000.0,11200.0,854,SELF_EMPLOYED,12.3,23,2,BUSINESS,3677000.0,48,AGGRESSIVE,TRUE
syn-0037,55700.0,26700.0,5300.0,749,RETIRED,3.6,44,2,HOME,1883000.0,180,MODERATE,TRUE
syn-0038,249800.0,99800.0,14900.0,660,SALARIED,14.3,55,2,BUSINESS,1252000.0,48,MODERATE,TRUE
syn-0039,958500.0,666900.0,79200.0,667,SELF_EMPLOYED,10.0,57,1,PERSONAL,9031000.0,12,CONSERVATIVE,TRUE
syn-0040,261200.0,184000.0,12600.0,768,CONTRACT,10.0,30,3,MEDICAL,1454000.0,36,CONSERVATIVE,TRUE
syn-0041,33100.0,17300.0,2900.0,673,SELF_EMPLOYED,10.4,44,1,VEHICLE,354000.0,24,AGGRESSIVE,TRUE
syn-0042,32400.0,11200.0,4600.0,803,SELF_EMPLOYED,7.5,57,0,VEHICLE,127000.0,84,AGGRESSIVE,TRUE
syn-0043,142800.0,37200.0,1100.0,745,CONTRACT,4.8,46,2,HOME,7228000.0,180,MODERATE,TRUE
syn-0044,69800.0,47300.0,300.0,461,SALARIED,9.9,45,2,VEHICLE,343000.0,36,CONSERVATIVE,TRUE
syn-0045,821000.0,389800.0,39200.0,855,SELF_EMPLOYED,6.4,60,1,MEDICAL,4925000.0,24,MODERATE,TRUE
syn-0046,123300.0,69500.0,7800.0,814,CONTRACT,1.0,62,0,BUSINESS,1111000.0,120,AGGRESSIVE,TRUE
syn-0047,198100.0,90400.0,30100.0,844,CONTRACT,5.1,42,2,PERSONAL,960000.0,48,CONSERVATIVE,TRUE
syn-0048,60800.0,27800.0,7900.0,900,SELF_EMPLOYED,10.3,42,1,BUSINESS,1297000.0,24,AGGRESSIVE,TRUE
syn-0049,421600.0,242800.0,17400.0,715,CONTRACT,2.7,48,0,MEDICAL,2445000.0,12,AGGRESSIVE,TRUE
syn-0050,441900.0,199000.0,51600.0,794,SALARIED,12.6,33,3,HOME,11869000.0,60,AGGRESSIVE,TRUE
syn-0051,60100.0,33700.0,6400.0,860,CONTRACT,11.3,60,3,HOME,2813000.0,240,CONSERVATIVE,TRUE
syn-0052,414300.0,229100.0,43300.0,839,SALARIED,6.9,32,1,VEHICLE,4320000.0,24,CONSERVATIVE,TRUE
syn-0053,247000.0,111400.0,13000.0,640,RETIRED,6.9,60,0,MEDICAL,514000.0,12,MODERATE,TRUE
syn-0054,33900.0,22600.0,5300.0,791,RETIRED,11.7,59,1,PERSONAL,113000.0,36,MODERATE,TRUE
syn-0055,309900.0,217200.0,24000.0,630,CONTRACT,1.5,43,0,VEHICLE,2859000.0,48,CONSERVATIVE,TRUE
syn-0056,25300.0,16100.0,4100.0,769,SALARIED,11.9,54,3,PERSONAL,117000.0,36,CONSERVATIVE,TRUE
syn-0057,852300.0,373500.0,143700.0,723,SALARIED,8.7,34,0,MEDICAL,4913000.0,24,AGGRESSIVE,TRUE
syn-0058,126200.0,67700.0,11600.0,572,RETIRED,9.2,46,0,MEDICAL,852000.0,36,CONSERVATIVE,TRUE
syn-0059,587900.0,328000.0,92600.0,633,SALARIED,4.7,40,3,MEDICAL,3732000.0,36,AGGRESSIVE,TRUE
syn-0060,49800.0,15100.0,4800.0,790,SALARIED,4.6,59,0,MEDICAL,122000.0,12,CONSERVATIVE,TRUE
syn-0061,79400.0,23900.0,3100.0,729,SALARIED,0.5,37,0,VEHICLE,521000.0,60,AGGRESSIVE,TRUE
syn-0062,21500.0,6400.0,3700.0,726,SALARIED,10.4,44,3,PERSONAL,202000.0,24,AGGRESSIVE,TRUE
syn-0063,89400.0,54800.0,15000.0,750,RETIRED,6.3,41,1,VEHICLE,1242000.0,84,AGGRESSIVE,TRUE
syn-0064,540800.0,268200.0,82100.0,769,SALARIED,10.2,53,1,PERSONAL,2995000.0,48,CONSERVATIVE,TRUE
syn-0065,42500.0,29100.0,700.0,629,SALARIED,6.4,46,0,HOME,2286000.0,120,CONSERVATIVE,TRUE
syn-0066,320400.0,176800.0,19700.0,745,SALARIED,18.5,32,2,EDUCATION,2544000.0,120,CONSERVATIVE,TRUE
syn-0067,27900.0,13700.0,3300.0,665,CONTRACT,9.4,39,0,BUSINESS,176000.0,120,MODERATE,TRUE
syn-0068,724600.0,487800.0,85000.0,783,RETIRED,11.2,41,2,HOME,18239000.0,180,AGGRESSIVE,TRUE
syn-0069,45900.0,21400.0,8200.0,682,CONTRACT,3.8,34,3,BUSINESS,939000.0,120,MODERATE,TRUE
syn-0070,46100.0,13400.0,4900.0,823,SALARIED,6.7,54,2,BUSINESS,764000.0,60,AGGRESSIVE,TRUE
syn-0071,908800.0,507500.0,74800.0,650,CONTRACT,11.8,35,3,VEHICLE,4943000.0,12,AGGRESSIVE,TRUE
syn-0072,160400.0,62800.0,600.0,581,SELF_EMPLOYED,6.0,44,1,EDUCATION,2339000.0,48,AGGRESSIVE,TRUE
syn-0073,780300.0,222200.0,125700.0,661,SALARIED,10.0,61,3,MEDICAL,1067000.0,24,AGGRESSIVE,TRUE
syn-0074,598900.0,370300.0,81200.0,602,RETIRED,11.5,29,0,VEHICLE,5727000.0,60,MODERATE,TRUE
syn-0075,46700.0,19800.0,3200.0,838,RETIRED,8.7,47,2,EDUCATION,568000.0,84,MODERATE,TRUE
syn-0076,801500.0,511700.0,127600.0,796,SELF_EMPLOYED,5.2,23,0,VEHICLE,7788000.0,24,AGGRESSIVE,TRUE
syn-0077,286800.0,131100.0,51400.0,847,SALARIED,3.9,55,1,MEDICAL,1536000.0,12,MODERATE,TRUE
syn-0078,453200.0,173400.0,67700.0,757,SELF_EMPLOYED,2.1,46,2,MEDICAL,1008000.0,36,AGGRESSIVE,TRUE
syn-0079,28400.0,9200.0,4400.0,744,SALARIED,7.2,47,3,EDUCATION,202000.0,36,CONSERVATIVE,TRUE
syn-0080,104700.0,70600.0,6200.0,874,RETIRED,2.4,25,0,PERSONAL,262000.0,12,CONSERVATIVE,TRUE
syn-0081,48400.0,30900.0,4200.0,823,SALARIED,0.7,31,1,VEHICLE,765000.0,36,CONSERVATIVE,TRUE
syn-0082,929800.0,414800.0,26500.0,689,CONTRACT,3.0,27,2,MEDICAL,5652000.0,24,MODERATE,TRUE
syn-0083,52900.0,33000.0,4500.0,845,SALARIED,14.0,41,3,EDUCATION,1338000.0,24,AGGRESSIVE,TRUE
syn-0084,502300.0,150700.0,57600.0,785,RETIRED,2.9,57,1,BUSINESS,9358000.0,24,AGGRESSIVE,TRUE
syn-0085,271800.0,158300.0,47800.0,827,SELF_EMPLOYED,8.9,45,2,VEHICLE,2645000.0,12,CONSERVATIVE,TRUE
syn-0086,68700.0,27000.0,10300.0,762,CONTRACT,5.8,53,0,MEDICAL,384000.0,60,MODERATE,TRUE
syn-0087,541800.0,218400.0,300.0,647,SALARIED,6.8,62,0,HOME,6654000.0,60,AGGRESSIVE,TRUE
syn-0088,20100.0,7500.0,700.0,698,SELF_EMPLOYED,7.2,34,2,PERSONAL,42000.0,36,AGGRESSIVE,TRUE
syn-0089,194100.0,81500.0,30800.0,515,RETIRED,4.1,41,2,EDUCATION,5004000.0,36,MODERATE,TRUE
syn-0090,98800.0,49500.0,14300.0,555,SALARIED,7.9,61,2,EDUCATION,715000.0,24,CONSERVATIVE,TRUE
syn-0091,188500.0,68500.0,9800.0,814,SELF_EMPLOYED,2.7,48,1,EDUCATION,2643000.0,36,AGGRESSIVE,TRUE
syn-0092,526600.0,143300.0,48100.0,659,SELF_EMPLOYED,9.7,61,2,PERSONAL,5594000.0,24,MODERATE,TRUE
syn-0093,479600.0,127400.0,3400.0,670,RETIRED,7.5,57,0,HOME,5870000.0,84,CONSERVATIVE,TRUE
syn-0094,226800.0,160400.0,20300.0,754,SALARIED,0.5,58,0,VEHICLE,2479000.0,84,MODERATE,TRUE
syn-0095,26700.0,12900.0,900.0,796,SELF_EMPLOYED,1.8,45,0,EDUCATION,399000.0,48,MODERATE,TRUE
syn-0096,26000.0,9900.0,200.0,727,SELF_EMPLOYED,1.7,51,2,BUSINESS,655000.0,120,CONSERVATIVE,TRUE
syn-0097,727100.0,488500.0,75000.0,573,CONTRACT,2.6,43,1,HOME,16681000.0,240,CONSERVATIVE,TRUE
syn-0098,248100.0,142100.0,19500.0,717,RETIRED,4.9,58,2,VEHICLE,3518000.0,48,MODERATE,TRUE
syn-0099,27600.0,8500.0,600.0,715,RETIRED,1.2,57,0,PERSONAL,266000.0,36,CONSERVATIVE,TRUE
syn-0100,607200.0,364200.0,39200.0,810,SELF_EMPLOYED,11.9,56,3,VEHICLE,6375000.0,48,CONSERVATIVE,TRUE
syn-0101,57200.0,26500.0,4100.0,824,CONTRACT,1.0,26,2,HOME,3027000.0,60,CONSERVATIVE,TRUE
syn-0102,875500.0,449600.0,154900.0,757,CONTRACT,5.5,27,0,EDUCATION,15272000.0,120,AGGRESSIVE,TRUE
syn-0103,60700.0,42900.0,1700.0,592,SELF_EMPLOYED,5.5,56,2,EDUCATION,439000.0,84,CONSERVATIVE,TRUE
syn-0104,50400.0,23500.0,5900.0,862,CONTRACT,2.5,62,0,PERSONAL,96000.0,48,AGGRESSIVE,TRUE
syn-0105,21100.0,11200.0,2800.0,846,SALARIED,14.9,28,2,EDUCATION,357000.0,24,AGGRESSIVE,TRUE
syn-0106,44600.0,25600.0,5100.0,900,SELF_EMPLOYED,4.4,37,1,MEDICAL,228000.0,36,CONSERVATIVE,TRUE
syn-0107,27100.0,16400.0,2600.0,687,CONTRACT,7.4,43,0,PERSONAL,56000.0,12,MODERATE,TRUE
syn-0108,68600.0,42700.0,100.0,737,SALARIED,1.4,38,3,BUSINESS,1610000.0,84,CONSERVATIVE,TRUE
syn-0109,38000.0,16100.0,5500.0,616,SALARIED,0.1,39,0,EDUCATION,398000.0,24,AGGRESSIVE,TRUE
syn-0110,526100.0,321300.0,88500.0,723,CONTRACT,7.4,45,2,EDUCATION,10629000.0,120,MODERATE,TRUE
syn-0111,66400.0,36000.0,1200.0,682,SELF_EMPLOYED,13.0,53,0,HOME,3153000.0,84,CONSERVATIVE,TRUE
syn-0112,403600.0,213500.0,19700.0,730,SALARIED,1.6,55,1,VEHICLE,5475000.0,60,CONSERVATIVE,TRUE
syn-0113,44300.0,26200.0,2000.0,600,CONTRACT,0.9,43,0,BUSINESS,595000.0,36,MODERATE,TRUE
syn-0114,120300.0,86600.0,2600.0,684,SALARIED,0.8,24,2,VEHICLE,1822000.0,60,CONSERVATIVE,TRUE
syn-0115,368700.0,104400.0,50900.0,654,SELF_EMPLOYED,3.5,40,2,PERSONAL,2885000.0,12,AGGRESSIVE,TRUE
syn-0116,664000.0,398500.0,77300.0,691,CONTRACT,2.5,51,0,BUSINESS,13697000.0,36,CONSERVATIVE,TRUE
syn-0117,87000.0,47500.0,12800.0,727,RETIRED,2.9,58,0,EDUCATION,1531000.0,120,AGGRESSIVE,TRUE
syn-0118,425300.0,275200.0,66400.0,768,RETIRED,11.7,30,1,MEDICAL,1074000.0,60,CONSERVATIVE,TRUE
syn-0119,60500.0,37600.0,7500.0,712,RETIRED,7.7,29,1,MEDICAL,459000.0,12,CONSERVATIVE,TRUE
syn-0120,194700.0,118200.0,13800.0,817,RETIRED,1.9,62,0,VEHICLE,1140000.0,24,AGGRESSIVE,TRUE
syn-0121,946400.0,338000.0,72900.0,645,RETIRED,8.0,40,3,EDUCATION,24561000.0,24,CONSERVATIVE,TRUE
syn-0122,78500.0,31000.0,12700.0,762,RETIRED,3.3,42,0,HOME,1865000.0,120,MODERATE,TRUE
syn-0123,557200.0,304600.0,9000.0,818,SELF_EMPLOYED,9.9,33,3,BUSINESS,11638000.0,84,MODERATE,TRUE
syn-0124,25000.0,6300.0,1300.0,737,RETIRED,2.0,32,2,EDUCATION,496000.0,36,AGGRESSIVE,TRUE
syn-0125,92800.0,24500.0,14600.0,650,RETIRED,9.6,27,2,MEDICAL,150000.0,36,MODERATE,TRUE
syn-0126,797300.0,473100.0,79000.0,732,SELF_EMPLOYED,8.9,26,0,VEHICLE,9873000.0,60,MODERATE,TRUE
syn-0127,486400.0,292600.0,22800.0,725,SALARIED,4.9,26,0,VEHICLE,5197000.0,12,CONSERVATIVE,TRUE
syn-0128,280500.0,114700.0,19200.0,628,CONTRACT,1.1,32,1,EDUCATION,4123000.0,84,AGGRESSIVE,TRUE
syn-0129,150800.0,68500.0,21100.0,695,SELF_EMPLOYED,1.2,53,2,PERSONAL,1097000.0,48,CONSERVATIVE,TRUE
syn-0130,388500.0,163500.0,47000.0,547,CONTRACT,2.4,34,1,PERSONAL,1833000.0,48,AGGRESSIVE,TRUE
syn-0131,115800.0,41700.0,20400.0,731,RETIRED,9.3,51,3,VEHICLE,1292000.0,12,CONSERVATIVE,TRUE
syn-0132,341200.0,238200.0,37100.0,446,RETIRED,7.2,33,0,HOME,9470000.0,120,AGGRESSIVE,TRUE
syn-0133,217800.0,80600.0,25800.0,653,RETIRED,6.9,52,1,EDUCATION,1327000.0,120,CONSERVATIVE,TRUE
syn-0134,663900.0,167000.0,108600.0,711,CONTRACT,2.3,34,2,BUSINESS,9979000.0,36,CONSERVATIVE,TRUE
syn-0135,272900.0,101600.0,13000.0,534,SALARIED,7.4,46,0,HOME,4396000.0,240,CONSERVATIVE,TRUE
syn-0136,258700.0,170500.0,28600.0,598,CONTRACT,12.2,62,3,EDUCATION,6199000.0,36,MODERATE,TRUE
syn-0137,53100.0,13700.0,4900.0,650,RETIRED,4.3,24,1,HOME,1038000.0,120,CONSERVATIVE,TRUE
syn-0138,223600.0,109500.0,38600.0,783,SALARIED,1.3,54,2,BUSINESS,1314000.0,60,AGGRESSIVE,TRUE
syn-0139,205200.0,96500.0,27600.0,768,SELF_EMPLOYED,3.1,42,2,VEHICLE,1197000.0,12,AGGRESSIVE,TRUE
syn-0140,46900.0,20100.0,1500.0,671,SELF_EMPLOYED,6.4,38,3,MEDICAL,370000.0,36,MODERATE,TRUE
syn-0141,36800.0,17000.0,5000.0,726,SALARIED,9.7,53,1,BUSINESS,444000.0,24,AGGRESSIVE,TRUE
syn-0142,520500.0,237900.0,600.0,752,CONTRACT,6.5,55,3,MEDICAL,3285000.0,60,AGGRESSIVE,TRUE
syn-0143,52300.0,22200.0,5200.0,718,SELF_EMPLOYED,0.4,39,0,EDUCATION,455000.0,84,AGGRESSIVE,TRUE
syn-0144,65400.0,23600.0,5500.0,723,SELF_EMPLOYED,2.7,49,3,HOME,2078000.0,180,MODERATE,TRUE
syn-0145,987700.0,356200.0,140000.0,701,SALARIED,9.9,61,2,HOME,50217000.0,240,MODERATE,TRUE
syn-0146,23200.0,14800.0,1700.0,568,RETIRED,9.4,45,2,VEHICLE,294000.0,84,MODERATE,TRUE
syn-0147,247000.0,133600.0,25300.0,708,CONTRACT,5.7,37,2,VEHICLE,3270000.0,84,CONSERVATIVE,TRUE
syn-0148,44200.0,14000.0,3300.0,722,RETIRED,2.6,50,0,HOME,1241000.0,240,AGGRESSIVE,TRUE
syn-0149,190300.0,82600.0,17500.0,739,RETIRED,6.7,35,0,BUSINESS,2857000.0,36,CONSERVATIVE,TRUE
syn-0150,46200.0,28600.0,7600.0,572,SALARIED,1.2,47,0,MEDICAL,372000.0,60,AGGRESSIVE,TRUE
syn-0151,882000.0,414400.0,11200.0,841,CONTRACT,0.1,54,2,PERSONAL,5306000.0,36,CONSERVATIVE,TRUE
syn-0152,365200.0,249500.0,63000.0,734,SALARIED,1.9,49,0,BUSINESS,6274000.0,48,CONSERVATIVE,TRUE
syn-0153,61000.0,35400.0,4500.0,671,SALARIED,5.9,27,0,PERSONAL,602000.0,48,MODERATE,TRUE
syn-0154,108200.0,77400.0,5600.0,785,CONTRACT,9.2,54,2,EDUCATION,2682000.0,60,MODERATE,TRUE
syn-0155,605100.0,424200.0,39300.0,758,SALARIED,5.1,26,2,BUSINESS,5915000.0,48,CONSERVATIVE,TRUE
syn-0156,735400.0,423100.0,15900.0,690,SALARIED,1.0,52,0,VEHICLE,10235000.0,36,MODERATE,TRUE
syn-0157,140700.0,55500.0,21800.0,766,CONTRACT,4.9,42,2,EDUCATION,2209000.0,84,CONSERVATIVE,TRUE
syn-0158,39500.0,19300.0,0.0,859,RETIRED,0.9,33,2,PERSONAL,352000.0,12,CONSERVATIVE,TRUE
syn-0159,694700.0,222200.0,80300.0,628,CONTRACT,11.4,62,0,BUSINESS,6841000.0,84,CONSERVATIVE,TRUE
syn-0160,44800.0,19200.0,5600.0,656,RETIRED,7.9,40,2,PERSONAL,401000.0,48,MODERATE,TRUE
syn-0161,706200.0,279700.0,53200.0,733,CONTRACT,16.1,31,0,VEHICLE,8729000.0,48,AGGRESSIVE,TRUE
syn-0162,574500.0,228200.0,40400.0,720,CONTRACT,7.5,55,2,VEHICLE,2333000.0,60,CONSERVATIVE,TRUE
syn-0163,391700.0,135900.0,23400.0,786,RETIRED,9.4,48,0,MEDICAL,904000.0,12,MODERATE,TRUE
syn-0164,442400.0,120200.0,63500.0,553,CONTRACT,13.0,45,1,EDUCATION,2506000.0,36,CONSERVATIVE,TRUE
syn-0165,54900.0,24200.0,5700.0,900,SALARIED,5.5,35,2,PERSONAL,496000.0,48,MODERATE,TRUE
syn-0166,612500.0,169400.0,8400.0,750,RETIRED,2.7,30,3,EDUCATION,7698000.0,60,AGGRESSIVE,TRUE
syn-0167,636000.0,192000.0,1500.0,666,RETIRED,6.8,55,1,VEHICLE,7592000.0,48,AGGRESSIVE,TRUE
syn-0168,111500.0,44400.0,17600.0,646,SALARIED,8.7,54,1,EDUCATION,1462000.0,48,CONSERVATIVE,TRUE
syn-0169,124700.0,33300.0,11800.0,659,CONTRACT,10.6,45,0,HOME,5509000.0,84,AGGRESSIVE,TRUE
syn-0170,108300.0,67800.0,14600.0,643,CONTRACT,6.3,43,0,PERSONAL,326000.0,24,CONSERVATIVE,TRUE
syn-0171,117500.0,35300.0,18600.0,689,CONTRACT,5.7,45,2,PERSONAL,907000.0,12,AGGRESSIVE,TRUE
syn-0172,22500.0,14000.0,2500.0,715,SELF_EMPLOYED,16.3,39,0,VEHICLE,147000.0,60,CONSERVATIVE,TRUE
syn-0173,122100.0,60200.0,15200.0,777,SALARIED,12.4,38,3,PERSONAL,1220000.0,12,CONSERVATIVE,TRUE
syn-0174,30600.0,12500.0,3400.0,706,SALARIED,6.5,36,3,HOME,1150000.0,60,CONSERVATIVE,TRUE
syn-0175,891300.0,403700.0,32500.0,504,CONTRACT,7.2,42,0,EDUCATION,16193000.0,120,MODERATE,TRUE
syn-0176,108300.0,34800.0,5500.0,754,SELF_EMPLOYED,14.2,47,0,MEDICAL,885000.0,24,MODERATE,TRUE
syn-0177,41700.0,20100.0,5200.0,601,SALARIED,0.1,46,3,MEDICAL,146000.0,24,MODERATE,TRUE
syn-0178,296000.0,96300.0,37500.0,663,CONTRACT,0.7,31,0,VEHICLE,2321000.0,48,AGGRESSIVE,TRUE
syn-0179,88700.0,47600.0,3700.0,568,RETIRED,9.8,34,0,BUSINESS,1713000.0,48,MODERATE,TRUE
syn-0180,554600.0,255300.0,5200.0,711,SELF_EMPLOYED,2.2,53,0,MEDICAL,2982000.0,24,AGGRESSIVE,TRUE
syn-0181,262200.0,103500.0,9500.0,740,SALARIED,14.4,41,1,BUSINESS,7485000.0,36,MODERATE,TRUE
syn-0182,111700.0,55400.0,17500.0,561,SALARIED,10.3,40,3,BUSINESS,2649000.0,24,CONSERVATIVE,TRUE
syn-0183,24100.0,6600.0,2200.0,696,SELF_EMPLOYED,9.6,51,2,EDUCATION,280000.0,120,AGGRESSIVE,TRUE
syn-0184,76600.0,41500.0,13000.0,734,SALARIED,0.1,49,0,MEDICAL,277000.0,60,AGGRESSIVE,TRUE
syn-0185,757600.0,363700.0,87600.0,703,RETIRED,12.1,27,2,BUSINESS,19383000.0,60,MODERATE,TRUE
syn-0186,44200.0,29900.0,1300.0,729,CONTRACT,11.1,41,2,EDUCATION,676000.0,60,AGGRESSIVE,TRUE
syn-0187,26600.0,11600.0,3600.0,724,SALARIED,2.3,24,0,PERSONAL,99000.0,36,AGGRESSIVE,TRUE
syn-0188,25000.0,6300.0,4300.0,601,RETIRED,10.3,36,1,PERSONAL,118000.0,36,MODERATE,TRUE
syn-0189,187100.0,71200.0,26600.0,729,SALARIED,3.0,31,2,MEDICAL,1335000.0,24,AGGRESSIVE,TRUE
syn-0190,160900.0,98800.0,12700.0,779,SELF_EMPLOYED,13.7,43,2,BUSINESS,4318000.0,60,MODERATE,TRUE
syn-0191,121600.0,56000.0,17500.0,773,RETIRED,9.8,48,0,MEDICAL,272000.0,24,AGGRESSIVE,TRUE
syn-0192,850700.0,341500.0,22700.0,897,CONTRACT,7.0,26,0,MEDICAL,2810000.0,36,CONSERVATIVE,TRUE
syn-0193,181100.0,66000.0,29400.0,832,CONTRACT,10.1,44,1,BUSINESS,1579000.0,120,AGGRESSIVE,TRUE
syn-0194,203300.0,82900.0,29700.0,716,SELF_EMPLOYED,1.2,56,0,BUSINESS,2370000.0,48,CONSERVATIVE,TRUE
syn-0195,357100.0,92000.0,22200.0,791,RETIRED,7.9,35,1,PERSONAL,2006000.0,36,CONSERVATIVE,TRUE
syn-0196,948300.0,486600.0,83800.0,834,SALARIED,1.4,38,0,PERSONAL,3227000.0,12,MODERATE,TRUE
syn-0197,77300.0,51200.0,12900.0,672,SALARIED,8.5,56,3,PERSONAL,204000.0,24,AGGRESSIVE,TRUE
syn-0198,38200.0,16100.0,6500.0,676,CONTRACT,8.7,35,2,MEDICAL,235000.0,48,AGGRESSIVE,TRUE
syn-0199,285700.0,184100.0,44400.0,692,SELF_EMPLOYED,5.1,30,3,MEDICAL,2009000.0,60,MODERATE,TRUE
syn-0200,755100.0,205800.0,107400.0,741,RETIRED,4.9,34,0,MEDICAL,1328000.0,24,AGGRESSIVE,TRUE
syn-0201,588100.0,263900.0,52400.0,706,SELF_EMPLOYED,0.9,38,3,EDUCATION,5495000.0,36,MODERATE,TRUE
syn-0202,197000.0,127200.0,12600.0,696,RETIRED,8.1,46,3,VEHICLE,1579000.0,36,AGGRESSIVE,TRUE
syn-0203,250800.0,177500.0,33900.0,670,RETIRED,12.4,61,3,HOME,12476000.0,180,MODERATE,TRUE
syn-0204,113500.0,77100.0,14300.0,806,RETIRED,1.9,43,2,HOME,2082000.0,240,AGGRESSIVE,TRUE
syn-0205,249500.0,171000.0,7600.0,683,SALARIED,6.6,31,3,BUSINESS,6597000.0,84,MODERATE,TRUE
